Tempo decorrido,E[N],E[W],Lambda,Erro Little
37310.00,307.1339834926,153.0460363295,2.0068078263,-0.00000000063590732680
37320.00,307.0688124191,152.9932724488,2.0070739550,-0.00000000061947957875
37330.00,307.0051591640,152.9596608824,2.0070988481,-0.00000000062146909841
37340.00,306.9398611183,152.9333940138,2.0070166042,-0.00000000063317884269
37350.00,306.8734221582,152.9045133089,2.0069611780,-0.00000000064630967245
37360.00,306.8069489984,152.8776506743,2.0068790150,-0.00000000065193717091
37370.00,306.7405164384,152.8528409229,2.0067701365,-0.00000000066836491897
37380.00,306.6740742204,152.8259817942,2.0066880685,-0.00000000066569327828
37390.00,306.6087186005,152.8057686673,2.0065258090,-0.00000000065443828134
37400.00,306.5417394100,152.7786284026,2.0064438503,-0.00000000065062977228
37410.00,306.4757145846,152.7336443795,2.0066025127,-0.00000000065995209297
37420.00,306.4111619248,152.6894075247,2.0067610903,-0.00000000064210325945
37430.00,306.3462577336,152.6673646881,2.0066257013,-0.00000000061299942899
37440.00,306.2804945986,152.6387897372,2.0065705128,-0.00000000060776983446
37450.00,306.2141566650,152.5916485986,2.0067556742,-0.00000000061066884882
37460.00,306.1483585800,152.5630563971,2.0067004805,-0.00000000061254468164
37470.00,306.0827813823,152.5305132053,2.0066986923,-0.00000000059918647821
37480.00,306.0175190548,152.4940716924,2.0067502668,-0.00000000060532556745
37490.00,305.9553939630,152.4429876493,2.0070152041,-0.00000000061123728301
37500.00,305.8941579979,152.4348977429,2.0067200000,-0.00000000062186700234
37510.00,305.8306510707,152.4033866735,2.0067182085,-0.00000000061936589191
37520.00,305.7680399948,152.3804173391,2.0066098081,-0.00000000061635319071
37530.00,305.7028592563,152.3541372805,2.0065281108,-0.00000000061822902353
37540.00,305.6402922903,152.3089334227,2.0067128396,-0.00000000061504579207
37550.00,305.5767934255,152.2814677260,2.0066577896,-0.00000000061470473156
37560.00,305.5131921974,152.2377878762,2.0068157614,-0.00000000062465232986
37570.00,305.4497842860,152.2103668150,2.0067607133,-0.00000000061572791310
37580.00,305.3882749990,152.1879243401,2.0066524747,-0.00000000060083493736
37590.00,305.3259044549,152.1549594793,2.0066773078,-0.00000000060487082010
37600.00,305.2642444691,152.1263829299,2.0066489362,-0.00000000059242211137
37610.00,305.2017671244,152.0994124870,2.0065939910,-0.00000000058378191170
37620.00,305.1405073260,152.0589443475,2.0067251462,-0.00000000059105786931
37630.00,305.0796705279,152.0227236875,2.0068030826,-0.00000000058935256675
37640.00,305.0186492168,151.9984901506,2.0067215728,-0.00000000060413185565
37650.00,304.9584043346,151.9746382955,2.0066401062,-0.00000000060424554249
37660.00,304.8994689574,151.9212775655,2.0069569835,-0.00000000059770854932
37670.00,304.8437572789,151.8735694958,2.0072205999,-0.00000000058247451307
37680.00,304.7895705479,151.8587657455,2.0070594480,-0.00000000057553961597
37690.00,304.7364637149,151.8304403008,2.0070841072,-0.00000000057025317801
37700.00,304.6823998960,151.8176906701,2.0068965517,-0.00000000056576254792
37710.00,304.6265666643,151.7980314621,2.0067886502,-0.00000000054467363952
37720.00,304.5700373563,151.7599742289,2.0069194062,-0.00000000054205884226
37730.00,304.5128012548,151.7416132834,2.0067850517,-0.00000000056564886108
37740.00,304.4547696673,151.7088252563,2.0068362480,-0.00000000056053295339
37750.00,304.3956661554,151.6815132250,2.0068079470,-0.00000000056758153733
37760.00,304.3356656083,151.6617580820,2.0066737288,-0.00000000055513282859
37770.00,304.2740267275,151.6431793408,2.0065131056,-0.00000000055740656535
37780.00,304.2100784108,151.6134392504,2.0064849127,-0.00000000056581939134
37790.00,304.1449759009,151.5751258020,2.0065625827,-0.00000000056445514929
37800.00,304.0799028794,151.5248471316,2.0067989418,-0.00000000057127635955
37810.00,304.0151321198,151.4887142091,2.0068500397,-0.00000000057639226725
37820.00,303.9519695367,151.4513911083,2.0069275516,-0.00000000058895466282
37830.00,303.8911909228,151.3913342986,2.0073222310,-0.00000000057104898588
37840.00,303.8334222833,151.3447687021,2.0075581395,-0.00000000057116267271
37850.00,303.7785501280,151.3056390458,2.0077146631,-0.00000000057480065152
37860.00,303.7234826639,151.2843354560,2.0076333862,-0.00000000055570126278
37870.00,303.6699212741,151.2538296046,2.0076841827,-0.00000000054757265389
37880.00,303.6176740361,151.2239818615,2.0077349525,-0.00000000055689497458
37890.00,303.5649130491,151.2097828947,2.0075745579,-0.00000000056110138758
37900.00,303.5108217865,151.1909381298,2.0074670185,-0.00000000057650595409
37910.00,303.4555077210,151.1754510391,2.0073067792,-0.00000000058003024606
37920.00,303.4006832197,151.1383556358,2.0074367089,-0.00000000058247451307
37930.00,303.3484211208,151.1025465630,2.0075665700,-0.00000000057997340264
37940.00,303.2950325284,151.0820536493,2.0074855034,-0.00000000058741989051
37950.00,303.2403398932,151.0628891963,2.0073781291,-0.00000000057116267271
37960.00,303.1841359725,151.0290907384,2.0074552160,-0.00000000057866600400
37970.00,303.1282338605,151.0013911773,2.0074532526,-0.00000000057417537391
37980.00,303.0722512930,150.9716712676,2.0074776198,-0.00000000057229954109
37990.00,303.0151478906,150.9473324642,2.0074230061,-0.00000000056536464399
38000.00,302.9558418121,150.9238714309,2.0073421053,-0.00000000057451643443
38010.00,302.8980406206,150.8991772155,2.0072875559,-0.00000000058207660913
38020.00,302.8416191196,150.8672592533,2.0073382430,-0.00000000059060312196
38030.00,302.7846912013,150.8489245475,2.0072048383,-0.00000000059623062043
38040.00,302.7258055758,150.8296067286,2.0070715037,-0.00000000059230842453
38050.00,302.6662561063,150.7961273896,2.0071222076,-0.00000000058759042076
38060.00,302.6076022809,150.7571776380,2.0072517078,-0.00000000060720140027
38070.00,302.5503671484,150.7169725650,2.0074074074,-0.00000000063005245465
38080.00,302.4958981162,150.6899845673,2.0074054622,-0.00000000062112803789
38090.00,302.4438874084,150.6464891450,2.0076398005,-0.00000000061822902353
38100.00,302.3917572465,150.6403675568,2.0073753281,-0.00000000062300387071
38110.00,302.3370414734,150.6171930427,2.0073209131,-0.00000000061896798798
38120.00,302.2810579933,150.5953517007,2.0072402938,-0.00000000062181015892
38130.00,302.2248854463,150.5832490342,2.0070285864,-0.00000000061038463173
38140.00,302.1684378447,150.5434623850,2.0071840587,-0.00000000060629190557
38150.00,302.1146019442,150.5128508174,2.0072346003,-0.00000000058020077631
38160.00,302.0608007245,150.4960133132,2.0071016771,-0.00000000057639226725
38170.00,302.0046532237,150.4740707703,2.0070212209,-0.00000000058122395785
38180.00,301.9459921490,150.4547979102,2.0068884233,-0.00000000057650595409
